LocationID,precinct
1,0
2,100
3,49
4,9
5,123
6,122
7,114
8,114
9,111
10,113
11,62
12,1
13,1
14,68
15,109
16,111
17,79
18,52
19,105
20,48
21,62
22,62
23,121
24,24
25,84
26,66
27,100
28,107
29,60
30,100
31,52
32,49
33,84
34,88
35,73
36,83
37,83
38,105
39,69
40,76
41,28
42,32
43,22
44,123
45,5
46,0
47,42
48,18
49,88
50,18
51,45
52,76
53,109
54,76
55,60
56,110
56,110
58,45
59,42
60,42
61,77
62,71
63,75
64,111
65,84
66,84
67,68
68,10
69,44
70,115
71,67
72,67
73,109
74,25
75,23
76,75
77,75
78,48
79,9
80,90
81,47
82,110
83,108
84,123
85,67
86,101
87,1
88,1
89,70
90,10
91,63
92,109
93,110
94,46
95,112
96,104
97,88
98,107
99,123
100,14
101,105
102,104
103,1
103,0
103,1
106,78
107,13
108,60
109,122
110,122
111,72
112,94
113,6
114,6
115,120
116,30
117,100
118,122
119,44
120,34
121,107
122,103
123,61
124,106
125,1
126,41
127,34
128,34
129,115
130,103
131,107
132,113
133,66
134,102
135,107
136,52
137,13
138,115
139,105
140,19
141,19
142,20
143,20
144,5
145,108
146,114
147,41
148,5
149,61
150,61
151,24
152,30
153,50
154,63
155,63
156,121
157,104
158,6
159,40
160,104
161,18
162,18
163,18
164,14
165,70
166,26
167,42
168,40
169,46
170,17
171,109
172,122
173,115
174,52
175,111
176,122
177,73
178,66
179,114
180,106
181,78
182,43
183,45
184,45
185,49
186,14
187,121
188,71
189,77
190,78
191,105
192,109
193,114
194,25
195,76
196,112
197,102
198,104
199,114
200,50
201,100
202,114
203,105
204,123
205,113
206,120
207,114
208,45
209,1
210,61
211,1
212,43
213,43
214,122
215,103
216,106
217,90
218,113
219,105
220,50
221,120
222,75
223,114
224,13
225,81
226,108
227,72
228,72
229,17
230,18
231,1
232,7
233,17
234,13
235,46
236,19
237,19
238,24
239,20
240,50
241,50
242,49
243,34
244,33
245,120
246,10
247,44
248,43
249,6
250,43
251,120
252,109
253,110
254,47
255,94
256,90
257,72
258,102
259,47
260,108
261,1
262,19
263,19
